wateryear,region,surfdiv,pumping,et,gwstor,model
1996,11,548.9678394,8.048740759,838.3274834,78.49842806,cvhm
1997,11,617.9409901,4.367308541,781.9576584,111.2966208,cvhm
1998,11,410.0723363,0,800.9835973,274.5015114,cvhm
1999,11,530.6759631,0,769.8623898,-126.1438227,cvhm
2000,11,513.2001021,9.994056509,834.7068208,-20.74378695,cvhm
2001,11,594.4158959,0.055393636,855.2433534,-106.9382355,cvhm
2002,11,620.7652293,14.57319509,823.2723358,-22.60416804,cvhm
2003,11,551.508813,13.56878837,841.3996153,-32.28940637,cvhm
1975,12,414.1096106,0,663.2103231,40.51056219,cvhm
1976,12,471.8513075,1.972067025,661.8567611,-116.483905,cvhm
1977,12,235.2715592,293.6258491,687.058772,-268.4833053,cvhm
1978,12,444.9143512,38.09765203,738.1278535,230.8503523,cvhm
1979,12,482.3344509,37.51686623,726.5533491,56.57521099,cvhm
1980,12,453.5409827,0.021418703,690.3012418,160.2152867,cvhm
1981,12,483.822729,20.10603793,723.0286721,-45.71338893,cvhm
1982,12,368.8189282,11.38672515,721.1632551,190.8268274,cvhm
1983,12,319.7972491,0,672.8206768,420.5194799,cvhm
1984,12,418.2368924,0,660.2746621,-55.21668067,cvhm
1985,12,434.7634242,2.131186771,678.6674386,-104.3070041,cvhm
1986,12,429.9776893,3.711030956,705.5655732,73.598899,cvhm
1987,12,434.1368013,13.28377938,703.5857903,-124.7538523,cvhm
1988,12,263.3683765,257.5306096,730.2685491,-254.1153095,cvhm
1989,12,462.820009,97.83729947,748.9872336,-162.4643832,cvhm
1990,12,463.3066837,106.1965773,752.0436641,-99.82646732,cvhm
1991,12,512.2751445,81.98357148,734.4015528,-17.15567721,cvhm
1992,12,531.8903828,59.79023316,772.0909694,-33.40130476,cvhm
1993,12,483.9722635,27.36169144,739.6486474,164.2893933,cvhm
1994,12,473.2700639,34.76910102,709.5363269,-27.18610792,cvhm
1995,12,413.880921,24.2136903,661.0923081,338.6547617,cvhm
1996,12,410.8842024,17.96956153,668.9919085,111.1548496,cvhm
1997,12,447.6707325,5.210576424,629.253244,229.2435747,cvhm
1998,12,301.3902882,0,600.1797616,419.1360052,cvhm
1999,12,391.8345672,0,589.4871488,-88.87697709,cvhm
2000,12,369.421847,0,642.6295524,8.83725249,cvhm
2001,12,432.1492397,0.800256348,673.9183442,-60.90639475,cvhm
2002,12,453.3526647,16.66565603,673.0252922,-30.31483995,cvhm
2003,12,412.3411688,22.80663719,684.6492469,-18.69632226,cvhm
1975,13,1068.022102,520.4786458,2189.732473,-36.6099042,cvhm
1976,13,742.5135338,943.6715634,2129.728559,-600.8872077,cvhm
1977,13,351.9536617,1556.571651,2109.340626,-1023.950619,cvhm
1978,13,1070.748742,531.017933,2358.965033,463.96322,cvhm
1979,13,1134.412665,553.7179362,2249.933639,124.5143934,cvhm
1980,13,1206.34038,414.2750592,2188.408751,220.798313,cvhm
1981,13,938.9846594,830.9822616,2257.988792,-395.9426218,cvhm
1982,13,1165.805957,330.7714758,2341.321701,234.5383522,cvhm
1983,13,1132.424655,163.7643091,2235.900502,1092.449841,cvhm
1984,13,1165.751087,486.4286409,2143.3209,-54.01981305,cvhm
1985,13,875.1356891,739.3715342,2175.125073,-472.349803,cvhm
1986,13,1192.128444,438.5964912,2256.145298,120.5183841,cvhm
1987,13,822.9165822,895.8394137,2193.001911,-492.0541151,cvhm
1988,13,701.4424698,1104.193015,2279.621635,-755.2059948,cvhm
1989,13,691.8341287,1147.160878,2283.129565,-850.922941,cvhm
1990,13,504.7584596,1317.410902,2283.627604,-889.1330559,cvhm
1991,13,643.6569983,1283.360898,2159.349604,-555.3616287,cvhm
1992,13,607.2565129,1246.87875,2296.866563,-739.3474624,cvhm
1993,13,1084.378936,658.300094,2246.196557,151.9158812,cvhm
1994,13,857.5572116,769.3679671,2213.820998,-367.8412015,cvhm
1995,13,1072.255683,458.0536369,2156.063681,573.0996878,cvhm
1996,13,1014.312094,555.339365,2169.338762,110.7387168,cvhm
1997,13,1090.944805,559.3929371,2051.215223,389.5771549,cvhm
1998,13,906.6854212,331.5821902,2103.490111,940.6734834,cvhm
1999,13,922.8137458,395.6286279,1883.720661,-186.3057659,cvhm
2000,13,992.6119394,388.3321983,2053.589536,61.57719653,cvhm
2001,13,851.4106558,608.0358011,2128.184917,-312.8943897,cvhm
2002,13,808.6555525,777.4751111,2090.525413,-424.7750353,cvhm
2003,13,903.7184042,586.9572267,2128.710097,-222.7355481,cvhm
1975,14,1149.67868,728.0215326,1589.971574,-121.3203505,cvhm
1976,14,1152.791383,620.1965172,1635.113015,-103.266682,cvhm
1977,14,280.6255712,1524.953789,1563.013707,-739.1629775,cvhm
1978,14,732.5791543,669.6500957,1671.300284,10.26647674,cvhm
1979,14,1013.346563,590.2000843,1607.98038,-92.51791961,cvhm
1980,14,993.4118753,522.1000746,1606.909633,-84.19667004,cvhm
1981,14,1075.305563,483.1857833,1659.019858,-141.2172096,cvhm
1982,14,987.5634407,376.9821967,1586.503672,-69.56373634,cvhm
1983,14,851.0255534,336.4464766,1595.304915,122.425913,cvhm
1984,14,1177.529139,531.8286474,1628.400607,-113.5949838,cvhm
1985,14,1132.216878,427.2464896,1578.096777,-138.548931,cvhm
1986,14,1085.735844,414.2750592,1625.355369,-59.89640968,cvhm
1987,14,1140.063121,372.9286247,1585.325047,-74.98524029,cvhm
